state,date,positive,negative,positiveIncrease,negativeIncrease,bigFlag,negativeJump,positiveJump
NC,20200316,33,296,1,69,0.202805077805078,0.233108108108108,0.03030303030303
NM,20200322,57,4722,0,951,0.201397712833545,0.201397712833545,0
NC,20200317,40,474,7,178,0.200527426160338,0.375527426160338,0.175
NH,20200306,2,20,0,4,0.2,0.2,0
IN,20200312,12,52,2,19,0.198717948717949,0.365384615384615,0.166666666666667
NM,20200314,10,237,0,47,0.19831223628692,0.19831223628692,0
OR,20200316,39,579,3,159,0.197688322040654,0.274611398963731,0.076923076923077
AR,20200321,118,567,22,216,0.194511702986279,0.380952380952381,0.186440677966102
SC,20200313,12,75,2,27,0.193333333333333,0.36,0.166666666666667
MT,20200318,10,499,2,196,0.192785571142285,0.392785571142285,0.2
WY,20200323,26,592,2,154,0.183212058212058,0.260135135135135,0.076923076923077
LA,20200324,1388,7215,216,2439,0.182426141503951,0.338045738045738,0.155619596541787
LA,20200314,69,109,33,72,0.182289589150379,0.660550458715596,0.478260869565217
KY,20200325,157,2865,33,1123,0.181780993986283,0.391972076788831,0.210191082802548
KY,20200312,8,56,0,10,0.178571428571429,0.178571428571429,0
MS,20200314,6,84,2,43,0.178571428571429,0.511904761904762,0.333333333333333
MT,20200319,12,761,2,262,0.177617170389838,0.344283837056505,0.166666666666667
WY,20200319,18,271,3,93,0.176506765067651,0.343173431734317,0.166666666666667
VT,20200309,1,34,0,6,0.176470588235294,0.176470588235294,0
WA,20200309,136,1110,34,470,0.173423423423423,0.423423423423423,0.25
TX,20200322,334,8422,30,2204,0.171875199968147,0.261695559249584,0.089820359281437
TN,20200316,52,270,13,113,0.168518518518518,0.418518518518519,0.25
NE,20200321,38,356,6,116,0.167947959787108,0.325842696629213,0.157894736842105
KY,20200316,21,234,5,95,0.167887667887668,0.405982905982906,0.238095238095238
RI,20200324,106,1120,0,188,0.167857142857143,0.167857142857143,0
WI,20200317,72,1038,25,534,0.167228644829801,0.514450867052023,0.347222222222222
LA,20200326,2305,15724,510,6068,0.164648759429883,0.385906893920122,0.221258134490239
AR,20200323,174,906,9,195,0.163507650148436,0.21523178807947,0.051724137931035
VA,20200319,94,1829,17,628,0.162505961867315,0.343357025697102,0.180851063829787
KY,20200317,22,295,1,61,0.161325115562404,0.206779661016949,0.045454545454546
MA,20200323,777,8145,131,2686,0.161175698192273,0.329772866789441,0.168597168597169
OR,20200310,15,213,1,48,0.15868544600939,0.225352112676056,0.066666666666667
LA,20200323,1172,4776,335,2115,0.157003018505497,0.442839195979899,0.285836177474403
GA,20200326,1525,7401,278,2469,0.151308485118316,0.333603567085529,0.182295081967213
VT,20200310,1,40,0,6,0.15,0.15,0
GU,20200323,29,161,2,35,0.148425787106447,0.217391304347826,0.068965517241379
IN,20200313,12,61,0,9,0.147540983606557,0.147540983606557,0
SD,20200312,8,27,3,14,0.143518518518519,0.518518518518518,0.375
KY,20200311,8,46,2,18,0.141304347826087,0.391304347826087,0.25
OK,20200315,9,118,5,82,0.139359698681733,0.694915254237288,0.555555555555556
WI,20200309,1,36,0,5,0.138888888888889,0.138888888888889,0
CT,20200322,223,2877,29,771,0.137942643916262,0.267987486965589,0.130044843049327
GU,20200321,15,108,1,22,0.137037037037037,0.203703703703704,0.066666666666667
NC,20200321,184,5092,47,1996,0.136552648656033,0.391987431264729,0.255434782608696
ND,20200320,20,800,5,307,0.13375,0.38375,0.25
WY,20200318,15,178,5,83,0.132958801498127,0.466292134831461,0.333333333333333
PR,20200322,23,183,2,40,0.131622713233547,0.218579234972678,0.086956521739131
WY,20200320,19,331,1,60,0.128637303227858,0.181268882175227,0.052631578947369
AZ,20200313,9,94,0,12,0.127659574468085,0.127659574468085,0
AR,20200325,280,1437,62,490,0.119559598369619,0.340988169798191,0.221428571428571
AR,20200315,16,103,4,38,0.118932038834951,0.368932038834951,0.25
DC,20200316,17,96,1,17,0.118259803921569,0.177083333333333,0.058823529411765
WI,20200320,206,3455,51,1263,0.117984347997134,0.365557163531114,0.247572815533981
KY,20200323,104,1762,5,290,0.116508774993452,0.164585698070375,0.048076923076923
NC,20200315,32,227,9,90,0.11522577092511,0.39647577092511,0.28125
TX,20200318,83,1824,19,620,0.110996618051152,0.339912280701754,0.228915662650602
MI,20200319,336,2113,256,1841,0.109368309557614,0.871273071462376,0.761904761904762
OR,20200320,114,2003,26,674,0.108425081675732,0.336495257114328,0.228070175438596
NY,20200315,729,4543,205,1764,0.107082543366285,0.38828967642527,0.281207133058985
CO,20200309,9,133,1,29,0.106934001670844,0.218045112781955,0.111111111111111
GU,20200324,32,201,3,40,0.105254975124378,0.199004975124378,0.09375
NE,20200325,61,1304,9,329,0.104759629890375,0.252300613496932,0.147540983606557
IL,20200321,753,5488,168,1792,0.103423042523782,0.326530612244898,0.223107569721116
CA,20200309,114,690,26,228,0.102364607170099,0.330434782608696,0.228070175438596
NC,20200313,15,86,3,26,0.102325581395349,0.302325581395349,0.2
FL,20200309,18,140,1,22,0.101587301587302,0.157142857142857,0.055555555555556
CT,20200313,6,99,0,10,0.101010101010101,0.101010101010101,0
OH,20200312,5,30,1,9,0.1,0.3,0.2
NC,20200323,297,8141,42,1958,0.099096852321272,0.240510993735413,0.141414141414141
GA,20200322,600,3420,93,863,0.09733918128655,0.25233918128655,0.155
WA,20200311,267,2175,105,1065,0.096396745447501,0.489655172413793,0.393258426966292
ND,20200322,28,1260,0,119,0.094444444444445,0.094444444444445,0
CA,20200311,157,916,24,226,0.093858648791478,0.246724890829694,0.152866242038217
MS,20200326,485,2291,108,725,0.093775283831398,0.316455696202532,0.222680412371134
SC,20200317,33,311,5,76,0.092857838838546,0.244372990353698,0.151515151515152
FL,20200307,14,100,5,45,0.092857142857143,0.45,0.357142857142857
MN,20200317,60,2276,6,437,0.092003514938489,0.192003514938489,0.1
WV,20200327,76,1779,25,748,0.091513564687435,0.420460933108488,0.328947368421053
PR,20200324,39,268,8,79,0.08964791427478,0.294776119402985,0.205128205128205
MO,20200316,6,164,1,42,0.089430894308943,0.25609756097561,0.166666666666667
MA,20200318,256,2015,38,474,0.086798232009926,0.235235732009926,0.1484375
MN,20200324,262,5550,27,1039,0.084153772092703,0.187207207207207,0.103053435114504
PR,20200327,79,519,15,142,0.083729665130119,0.273603082851638,0.189873417721519
IL,20200306,5,180,0,15,0.083333333333333,0.083333333333333,0
OH,20200311,4,21,1,7,0.083333333333333,0.333333333333333,0.25
CO,20200319,216,2112,33,495,0.081597222222222,0.234375,0.152777777777778
NM,20200320,43,3771,8,1009,0.081521772646821,0.267568284274728,0.186046511627907
